loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,deviceID,deviceOrientationTimeStamp_since1970,deviceOrientation,label
1706575273.201157,1,317276.3116610417,0.090728759765625,-0.5738983154296875,-0.6917266845703125,317276.226519625,-0.4702971875667572,0.7939823269844055,0.2791906297206879,317276.247804625,-0.2201889334648743,0.1646868598563682,0.4117344289367436,-0.0508788675069809,0.0730486586689949,0.258189857006073,0.05666682124137878,-0.06816917657852173,-0.144891083240509,2,0.2113363365616736,0.05764261324500396,-0.09047620895061136,0.9715082258100446,0.1502423733472824,-0.4001994132995605,-0.9040285348892212,15.50088500976562,8.840946197509766,10.83705139160156,-1,2,317276.201477625,1,2,1706575273.086475,0,,,0
1706575273.30299,2,317276.4118290417,-0.079620361328125,-0.373504638671875,-0.861175537109375,317276.3266870417,-0.1368390768766403,-4.322298049926758,-0.1865405887365341,317276.3479720417,-0.2395561096078599,-0.09924418302885359,0.4370869560999343,-0.2817724943161011,-4.295203685760498,-0.3521129190921783,-0.09274379163980484,-0.01012387871742249,0.02704936265945435,2,0.2092035838921688,-0.07394986975871963,-0.1271830553251947,0.9667418979595578,-0.08976656943559647,-0.4233020842075348,-0.9015305638313293,17.40724182128906,8.855335235595703,6.3060302734375,-1,2,,,,,0,,,0
1706575273.401496,3,317276.5119970417,-0.6473388671875,-0.6968231201171875,-0.6851959228515625,317276.4268540417,-0.04672249779105186,0.210258424282074,0.5525457262992859,317276.4481400417,-0.2435500257922912,-0.175111077134377,0.4136966448297681,0.7206190228462219,-0.788654088973999,0.9189957976341248,0.04105149209499359,-0.2788045704364777,-0.05365335941314697,2,0.1926789144341739,-0.1097983034996163,-0.1362552846292376,0.9655329167222853,-0.1595207154750824,-0.4019968807697296,-0.9016383290290833,17.85015869140625,8.926784515380859,4.637786865234375,-1,2,,,,,0,,,0
1706575273.503589,4,317276.6121650417,-0.3981475830078125,-0.4040069580078125,-0.7214202880859375,317276.5270220417,1.70438551902771,-4.905477046966553,-1.320866584777832,317276.5483080417,-0.2461659044281283,-0.5422112594540253,0.5647230304767117,0.6781163215637207,-3.93865180015564,-1.488643527030945,-0.1275047659873962,-0.3222858309745789,0.2948193550109863,2,0.2348408186377267,-0.2882043855249399,-0.1876542466904069,0.9091611904089831,-0.4359107315540314,-0.5351818799972534,-0.7235760688781738,18.05769348144531,9.164691925048828,-2.054214477539062,-1,2,,,,,0,,,0
1706575273.601914,5,317276.7123330417,-0.3104705810546875,-0.110198974609375,-0.91033935546875,317276.6271900417,1.007308721542358,-2.628088235855103,-1.669982075691223,317276.6484760417,-0.3665995500243197,-0.7842469829232165,0.7128675780917821,-0.6860541105270386,0.3862123787403107,-0.466604620218277,0.555298924446106,0.2986437678337097,0.2060666084289551,2,0.2517697505863377,-0.4109073179575318,-0.2889653347872405,0.8272038391388363,-0.5343027710914612,-0.654005765914917,-0.5355343222618103,14.28900909423828,11.86220932006836,-9.013519287109375,-1,2,,,,,0,,,0
1706575273.70451,6,317276.8125000417,-0.8334503173828125,0.2871246337890625,-2.687179565429688,317276.7273580417,-3.19948673248291,6.357237339019775,1.360515236854553,317276.7486430417,-0.4110250477327028,-0.266436085885799,0.393250290894924,-2.100882291793823,4.121925354003906,1.080315113067627,-0.04685705900192261,0.4200120568275452,-0.1007593274116516,2,0.1629719595885532,-0.1670375796986092,-0.2237661113708865,0.9462913943997528,-0.2431972473859787,-0.3831926286220551,-0.8910771608352661,17.22063446044922,11.21687698364258,1.51812744140625,-1,2,,,,,0,,,0
1706575273.802144,7,317276.9126680417,-0.26800537109375,-0.11663818359375,-1.033660888671875,317276.8275250417,2.267068147659302,-0.01902935095131397,0.8527495265007019,317276.8488110417,-0.2965992576242747,-0.1575480492202023,0.302124363780168,1.053224325180054,1.292206406593323,1.899393200874329,0.4596967101097107,0.3994318842887878,0.1000327467918396,2,0.1368800104015768,-0.09910918288499795,-0.1573332889083439,0.9729787145349235,-0.1497906893491745,-0.2975490093231201,-0.9428824782371521,18.10231018066406,8.193225860595703,5.480316162109375,-1,2,,,,,0,,,0
1706575273.904646,8,317277.0128360417,-0.0629730224609375,-0.3930206298828125,-0.832916259765625,317276.9276930417,-0.4974678456783295,0.6088494658470154,2.310006141662598,317276.9489790417,-0.06202838131157555,-0.09683334082147402,0.2207771068792192,-0.2816931009292603,0.9356328248977661,1.70689857006073,-0.4413549304008484,-0.1184297353029251,-0.2473187446594238,2,0.1084908418145579,-0.051492155775852,-0.0361135102566599,0.9921059010141544,-0.09433536976575851,-0.2189879268407822,-0.9711565971374512,19.10710144042969,3.185127258300781,7.797653198242188,-1,2,,,,,0,,,0
1706575274.00268,9,317277.1130040417,0.060882568359375,0.0671234130859375,-1.158782958984375,317277.0278610417,-0.7470595836639404,0.6482512354850769,0.3447954654693604,317277.0491470417,0.001452001735406035,-0.02700996602893791,0.1646038169697998,-1.107140898704529,0.9353616833686829,0.5389751791954041,0.1528165638446808,-0.04275780916213989,0.1380553245544434,2,0.08221127220106302,-0.01339917793045383,-0.0003867198516475825,0.9965248563487884,-0.02664164267480373,-0.1638615131378174,-0.9861235618591309,18.64017486572266,1.538673400878906,9.041488647460938,-1,2,,,,,0,,,0
1706575274.105791,10,317277.2131710417,-0.2818603515625,-0.206390380859375,-1.015167236328125,317277.1280290417,0.2850125730037689,-0.5321142077445984,0.6750439405441284,317277.1493140417,0.0629299612429129,-0.03986347780782765,0.1373846511969018,0.1743100434541702,-0.218746230006218,0.7748756408691406,0.0548430047929287,0.08981841802597046,0.002775847911834717,2,0.06921624190146694,-0.017714655449314,0.03001204683923412,0.9969927756992413,-0.03947740793228149,-0.1369528770446777,-0.9897906184196472,18.61724853515625,-0.028839111328125,9.028152465820312,-1,2,,,,,0,,,0
